Antecedents,Antecedents Name,Consequents,Consequents Name,Support,Confidence,Lift,Kulczynski
"22521, 22522","CHILDS GARDEN TROWEL PINK, CHILDS GARDEN FORK BLUE ","22520, 22523","CHILDS GARDEN TROWEL BLUE , CHILDS GARDEN FORK PINK",0.005147041055505884,0.9181034482758621,157.6509336099585,0.9009604378308771
"22520, 22523","CHILDS GARDEN TROWEL BLUE , CHILDS GARDEN FORK PINK","22521, 22522","CHILDS GARDEN TROWEL PINK, CHILDS GARDEN FORK BLUE ",0.005147041055505884,0.8838174273858921,157.6509336099585,0.9009604378308771
"22917, 22918","HERB MARKER ROSEMARY, HERB MARKER PARSLEY",22916,HERB MARKER THYME,0.005147041055505884,0.9466666666666667,157.33295850066935,0.9010441767068273
22916,HERB MARKER THYME,"22917, 22918","HERB MARKER ROSEMARY, HERB MARKER PARSLEY",0.005147041055505884,0.8554216867469879,157.33295850066932,0.9010441767068273
22917,HERB MARKER ROSEMARY,"22916, 22918","HERB MARKER THYME, HERB MARKER PARSLEY",0.005147041055505884,0.8452380952380952,156.15396471088437,0.8980654761904762
"22916, 22918","HERB MARKER THYME, HERB MARKER PARSLEY",22917,HERB MARKER ROSEMARY,0.005147041055505884,0.9508928571428571,156.15396471088434,0.8980654761904762
22917,HERB MARKER ROSEMARY,"22916, 22920","HERB MARKER THYME, HERB MARKER BASIL",0.005050383007515163,0.8293650793650794,156.00734126984128,0.8896825396825396
"22916, 22920","HERB MARKER THYME, HERB MARKER BASIL",22917,HERB MARKER ROSEMARY,0.005050383007515163,0.95,156.00734126984125,0.8896825396825396
22916,HERB MARKER THYME,"22917, 22920","HERB MARKER ROSEMARY, HERB MARKER BASIL",0.005050383007515163,0.8393574297188755,155.7629081347813,0.8882885803302898
"22917, 22920","HERB MARKER ROSEMARY, HERB MARKER BASIL",22916,HERB MARKER THYME,0.005050383007515163,0.9372197309417041,155.76290813478127,0.8882885803302898
22916,HERB MARKER THYME,22917,HERB MARKER ROSEMARY,0.005606166783461808,0.9317269076305221,153.006565946325,0.9261809141327213
22917,HERB MARKER ROSEMARY,22916,HERB MARKER THYME,0.005606166783461808,0.9206349206349206,153.00656594632497,0.9261809141327213
22918,HERB MARKER PARSLEY,"22916, 22917","HERB MARKER THYME, HERB MARKER ROSEMARY",0.005147041055505884,0.8554216867469879,152.585843373494,0.886762567511425
"22916, 22917","HERB MARKER THYME, HERB MARKER ROSEMARY",22918,HERB MARKER PARSLEY,0.005147041055505884,0.9181034482758621,152.585843373494,0.886762567511425
22916,HERB MARKER THYME,22918,HERB MARKER PARSLEY,0.005412850687480366,0.8995983935742972,149.5103627360849,0.8995983935742972
22918,HERB MARKER PARSLEY,22916,HERB MARKER THYME,0.005412850687480366,0.8995983935742972,149.5103627360849,0.8995983935742972
