Customer ID,Recency,Frequency,Monetary,Cluster,Tên phân khúc,Cluster K-Medoids
12346.0,325,3,77352.96,2,Khách VIP,2
12347.0,1,8,4921.53,2,Khách VIP,2
12348.0,74,5,1658.4,0,Khách hàng trung thành,0
12349.0,18,3,3678.69,0,Khách hàng trung thành,0
12350.0,309,1,294.4,1,Khách hàng có nguy cơ rời bỏ,1
12351.0,374,1,300.93,1,Khách hàng có nguy cơ rời bỏ,1
12352.0,35,9,1729.54,2,Khách VIP,2
12353.0,203,2,406.76,0,Khách hàng trung thành,0
12354.0,231,1,1079.4,0,Khách hàng trung thành,0
12355.0,213,2,947.61,0,Khách hàng trung thành,0
12356.0,22,6,5611.73,2,Khách VIP,2
12357.0,32,2,17437.66,2,Khách VIP,2
12358.0,1,5,3447.07,2,Khách VIP,2
12359.0,57,10,8873.39,2,Khách VIP,2
12360.0,51,6,3612.89,2,Khách VIP,2
12361.0,286,4,451.25,0,Khách hàng trung thành,1
12362.0,2,10,4737.23,2,Khách VIP,2
12363.0,109,2,552.0,0,Khách hàng trung thành,0
12364.0,7,4,1208.1,0,Khách hàng trung thành,0
12365.0,290,1,320.69,1,Khách hàng có nguy cơ rời bỏ,1
12366.0,633,1,500.24,1,Khách hàng có nguy cơ rời bỏ,1
12367.0,3,1,150.9,0,Khách hàng trung thành,0
12368.0,627,1,917.7,1,Khách hàng có nguy cơ rời bỏ,1
12369.0,412,3,1511.15,1,Khách hàng có nguy cơ rời bỏ,1
12370.0,50,7,3956.56,2,Khách VIP,2
12371.0,59,4,3347.38,2,Khách VIP,2
12372.0,71,3,1196.04,0,Khách hàng trung thành,0
12373.0,310,3,927.65,0,Khách hàng trung thành,1
12374.0,24,3,2669.22,0,Khách hàng trung thành,0
12375.0,10,2,377.5,0,Khách hàng trung thành,0
12376.0,389,2,383.15,1,Khách hàng có nguy cơ rời bỏ,1
12377.0,314,4,3266.32,0,Khách hàng trung thành,0
12378.0,129,2,5416.32,0,Khách hàng trung thành,0
12379.0,81,4,1470.22,0,Khách hàng trung thành,0
12380.0,21,8,7210.65,2,Khách VIP,2
12381.0,4,3,1474.81,0,Khách hàng trung thành,0
12383.0,184,5,1628.56,0,Khách hàng trung thành,0
12384.0,28,2,425.27,0,Khách hàng trung thành,0
12385.0,378,1,1668.4,1,Khách hàng có nguy cơ rời bỏ,1
12386.0,337,2,401.9,1,Khách hàng có nguy cơ rời bỏ,1
12387.0,414,1,143.94,1,Khách hàng có nguy cơ rời bỏ,1
12388.0,15,8,3901.11,2,Khách VIP,2
12389.0,402,3,1433.33,1,Khách hàng có nguy cơ rời bỏ,1
12390.0,79,1,504.84,0,Khách hàng trung thành,0
12391.0,21,6,2724.84,2,Khách VIP,2
12392.0,590,1,234.75000000000003,1,Khách hàng có nguy cơ rời bỏ,1
12393.0,71,6,2399.4500000000003,2,Khách VIP,2
12394.0,63,2,1080.48,0,Khách hàng trung thành,0
12395.0,18,15,4241.17,2,Khách VIP,2
12396.0,673,1,931.43,1,Khách hàng có nguy cơ rời bỏ,1
12397.0,35,2,2214.9,0,Khách hàng trung thành,0
12398.0,45,1,1435.66,0,Khách hàng trung thành,0
12399.0,118,7,1842.3,2,Khách VIP,2
12400.0,413,1,205.25,1,Khách hàng có nguy cơ rời bỏ,1
12401.0,302,1,69.3,1,Khách hàng có nguy cơ rời bỏ,1
12402.0,322,6,1136.9,0,Khách hàng trung thành,0
12403.0,49,2,947.36,0,Khách hàng trung thành,0
12405.0,148,1,1390.39,0,Khách hàng trung thành,0
12406.0,21,5,6390.36,2,Khách VIP,2
12407.0,49,5,1507.12,0,Khách hàng trung thành,0
12408.0,32,8,3905.77,2,Khách VIP,2
12409.0,78,7,23419.29,2,Khách VIP,2
12410.0,308,3,773.71,0,Khách hàng trung thành,1
12411.0,409,1,346.9,1,Khách hàng có nguy cơ rời bỏ,1
12412.0,74,6,2404.93,2,Khách VIP,2
12413.0,66,4,871.45,0,Khách hàng trung thành,0
12414.0,216,4,532.41,0,Khách hàng trung thành,0
12415.0,23,24,144033.37,2,Khách VIP,2
12416.0,656,1,202.56,1,Khách hàng có nguy cơ rời bỏ,1
12417.0,2,20,5998.41,2,Khách VIP,2
12418.0,112,4,2021.2,0,Khách hàng trung thành,0
12419.0,385,2,391.01,1,Khách hàng có nguy cơ rời bỏ,1
12420.0,63,1,600.39,0,Khách hàng trung thành,0
12421.0,15,6,874.6,0,Khách hàng trung thành,0
12422.0,95,12,3639.35,2,Khách VIP,2
12423.0,0,10,2301.39,2,Khách VIP,2
12424.0,162,4,3340.03,2,Khách VIP,2
12425.0,77,2,1741.41,0,Khách hàng trung thành,0
12426.0,194,2,1201.21,0,Khách hàng trung thành,0
12427.0,21,3,699.8,0,Khách hàng trung thành,0
12428.0,25,8,6405.26,2,Khách VIP,2
12429.0,8,8,5842.41,2,Khách VIP,2
12430.0,42,1,216.4,0,Khách hàng trung thành,0
12431.0,35,25,10102.22,2,Khách VIP,2
12432.0,42,4,4359.32,2,Khách VIP,2
12433.0,0,10,16794.14,2,Khách VIP,2
12434.0,84,3,1103.43,0,Khách hàng trung thành,0
12435.0,79,6,13925.93,2,Khách VIP,2
12436.0,99,1,429.0100000000001,0,Khách hàng trung thành,0
12437.0,1,38,11282.4,2,Khách VIP,2
12438.0,13,2,2466.85,0,Khách hàng trung thành,0
12439.0,682,2,1142.88,1,Khách hàng có nguy cơ rời bỏ,1
12440.0,461,2,739.2,1,Khách hàng có nguy cơ rời bỏ,1
12441.0,366,1,155.55,1,Khách hàng có nguy cơ rời bỏ,1
12442.0,2,1,144.06,0,Khách hàng trung thành,0
12443.0,731,1,365.31,1,Khách hàng có nguy cơ rời bỏ,1
12444.0,20,5,4085.46,2,Khách VIP,2
12445.0,21,2,378.98,0,Khách hàng trung thành,0
12446.0,57,1,1002.31,0,Khách hàng trung thành,0
12447.0,242,1,431.49,0,Khách hàng trung thành,1
12448.0,43,1,365.45,0,Khách hàng trung thành,0
12449.0,21,5,4274.89,2,Khách VIP,2
12450.0,155,5,688.2,0,Khách hàng trung thành,0
12451.0,10,8,12629.88,2,Khách VIP,2
12452.0,16,1,348.57,0,Khách hàng trung thành,0
12453.0,133,1,707.09,0,Khách hàng trung thành,0
12454.0,55,4,16459.78,2,Khách VIP,2
12455.0,72,9,5722.95,2,Khách VIP,2
12456.0,43,3,2581.04,0,Khách hàng trung thành,0
12457.0,65,7,2555.91,2,Khách VIP,2
12458.0,70,4,1502.49,0,Khách hàng trung thành,0
12459.0,604,1,398.36,1,Khách hàng có nguy cơ rời bỏ,1
12460.0,455,1,296.65,1,Khách hàng có nguy cơ rời bỏ,1
12461.0,154,1,626.88,0,Khách hàng trung thành,0
12462.0,18,2,937.59,0,Khách hàng trung thành,0
12463.0,52,4,1200.78,0,Khách hàng trung thành,0
12464.0,9,8,957.05,0,Khách hàng trung thành,2
12465.0,16,2,682.1899999999999,0,Khách hàng trung thành,0
12467.0,422,1,132.8,1,Khách hàng có nguy cơ rời bỏ,1
12468.0,187,5,3238.74,2,Khách VIP,2
12469.0,522,2,3070.54,1,Khách hàng có nguy cơ rời bỏ,1
12470.0,689,1,211.95,1,Khách hàng có nguy cơ rời bỏ,1
12471.0,1,71,35099.9,2,Khách VIP,2
12472.0,31,19,14971.29,2,Khách VIP,2
12473.0,53,3,2585.73,0,Khách hàng trung thành,0
12474.0,16,29,11310.75,2,Khách VIP,2
12475.0,53,2,1065.64,0,Khách hàng trung thành,0
12476.0,15,18,12319.91,2,Khách VIP,2
12477.0,22,9,20276.37,2,Khách VIP,2
12478.0,3,1,545.99,0,Khách hàng trung thành,0
12479.0,10,1,473.2,0,Khách hàng trung thành,0
12480.0,27,7,4834.85,2,Khách VIP,2
12481.0,22,14,11033.51,2,Khách VIP,2
12482.0,575,27,21941.72,2,Khách VIP,2
12483.0,16,19,4069.18,2,Khách VIP,2
12484.0,34,9,5557.1,2,Khách VIP,2
12485.0,528,1,708.1,1,Khách hàng có nguy cơ rời bỏ,1
12486.0,431,1,917.28,1,Khách hàng có nguy cơ rời bỏ,1
12487.0,730,1,285.29999999999995,1,Khách hàng có nguy cơ rời bỏ,1
12488.0,9,3,1244.66,0,Khách hàng trung thành,0
12489.0,335,1,298.93,1,Khách hàng có nguy cơ rời bỏ,1
12490.0,4,20,8764.64,2,Khách VIP,2
12491.0,38,1,424.4,0,Khách hàng trung thành,0
12492.0,62,3,607.21,0,Khách hàng trung thành,0
12493.0,165,2,379.74,0,Khách hàng trung thành,0
12494.0,15,9,1563.27,2,Khách VIP,2
12495.0,640,1,277.4,1,Khách hàng có nguy cơ rời bỏ,1
12496.0,619,2,45.34,1,Khách hàng có nguy cơ rời bỏ,1
12497.0,81,3,5996.5,2,Khách VIP,2
12498.0,20,3,349.70000000000005,0,Khách hàng trung thành,0
12499.0,559,1,357.72,1,Khách hàng có nguy cơ rời bỏ,1
12500.0,22,18,5559.21,2,Khách VIP,2
12501.0,336,1,2025.39,1,Khách hàng có nguy cơ rời bỏ,1
12502.0,95,5,2995.87,2,Khách VIP,2
12503.0,583,1,896.0,1,Khách hàng có nguy cơ rời bỏ,1
12504.0,17,4,689.05,0,Khách hàng trung thành,0
12505.0,408,1,787.2,1,Khách hàng có nguy cơ rời bỏ,1
12506.0,232,1,73.5,1,Khách hàng có nguy cơ rời bỏ,1
12507.0,133,4,1508.06,0,Khách hàng trung thành,0
12508.0,25,2,397.88,0,Khách hàng trung thành,0
