Customer ID,Recency,Frequency,Monetary
12346.0,263,3,77352.96
12347.0,67,6,3402.3900000000003
12348.0,12,5,1658.3999999999999
12349.0,345,2,2221.14
12350.0,247,1,294.4
12351.0,312,1,300.93
12352.0,9,8,1497.81
12353.0,141,2,406.76
12354.0,169,1,1079.4
12355.0,151,2,947.61
12356.0,183,5,5553.38
12357.0,326,1,11229.99
12358.0,88,4,2923.87
12359.0,127,9,6059.09
12360.0,50,5,2689.11
12361.0,224,4,451.25
12362.0,10,5,2352.34
12363.0,47,2,552.0
12364.0,15,2,643.72
12365.0,228,1,320.69
12366.0,571,1,500.24
12368.0,565,1,917.6999999999999
12369.0,350,3,1511.15
12370.0,212,6,3217.28
12371.0,346,3,1819.42
12372.0,9,3,1196.04
12373.0,248,3,927.6500000000001
12374.0,359,2,2046.29
12375.0,35,1,190.3
12376.0,327,2,383.15
12377.0,252,4,3266.32
12378.0,67,2,5416.32
12379.0,19,4,1470.22
12380.0,15,6,5917.4
12381.0,57,1,1028.74
12383.0,122,5,1628.56
12384.0,59,1,212.69
12385.0,316,1,1668.4
12386.0,275,2,401.9
12387.0,352,1,143.94
12388.0,13,7,3614.71
12389.0,340,3,1433.33
12390.0,17,1,504.84000000000003
12391.0,402,5,2285.18
12392.0,528,1,234.75000000000003
12393.0,9,6,2399.4500000000003
12394.0,1,2,1080.48
12395.0,3,12,3549.79
12396.0,611,1,931.43
12397.0,72,1,1109.81
12399.0,56,7,1842.3
12400.0,351,1,205.25
12401.0,240,1,69.3
12402.0,260,6,1136.9
12403.0,459,1,555.6600000000001
12405.0,86,1,1390.39
12406.0,121,4,4596.31
12407.0,71,4,1242.3600000000001
12408.0,36,7,3226.27
12409.0,16,7,23419.29
12410.0,246,3,773.71
12411.0,347,1,346.9
12412.0,12,6,2404.93
12413.0,4,4,871.45
12414.0,154,4,532.41
12415.0,3,20,137678.49
12416.0,594,1,202.56
12417.0,44,18,5255.83
12418.0,50,4,2021.2
12419.0,323,2,391.01
12420.0,1,1,600.39
12421.0,52,5,724.12
12422.0,33,12,3639.35
12423.0,38,9,2107.75
12424.0,100,4,3340.03
12425.0,15,2,1741.41
12426.0,132,2,1201.21
12427.0,309,1,249.5
12428.0,57,7,6076.92
12429.0,110,7,4936.89
12431.0,2,23,9198.1
12432.0,109,2,3316.6600000000003
12433.0,28,6,9813.5
12434.0,22,3,1103.43
12435.0,17,6,13925.93
12436.0,37,1,429.01000000000005
12437.0,15,32,9545.0
12438.0,77,1,770.0699999999999
12439.0,620,2,1142.88
12440.0,399,2,739.2
12441.0,304,1,155.55
12443.0,669,1,365.31
12444.0,23,3,2829.81
12445.0,358,1,301.58000000000004
12447.0,180,1,431.49
12449.0,29,4,3058.18
12450.0,93,5,688.2
12451.0,2,6,11481.74
12453.0,71,1,707.09
12454.0,333,3,12931.44
12455.0,10,9,5722.95
12456.0,68,2,1825.4
12457.0,3,7,2555.91
12458.0,8,4,1502.49
12459.0,542,1,398.36
12460.0,393,1,296.65
12461.0,92,1,626.88
12462.0,240,1,594.11
12463.0,112,3,877.79
12464.0,43,6,615.55
12465.0,106,1,410.94
12467.0,360,1,132.8
12468.0,125,5,3238.74
12469.0,460,2,3070.54
12470.0,627,1,211.95
12471.0,3,64,30113.39
12472.0,76,17,13452.78
12473.0,52,2,1013.75
12474.0,36,24,8600.72
12475.0,347,1,396.26
12476.0,22,14,9570.76
12477.0,1,7,16949.9
12480.0,80,6,3842.17
12481.0,3,13,10864.71
12482.0,513,27,21941.72
12483.0,36,17,3448.26
12484.0,40,8,4828.43
12485.0,466,1,708.1
12486.0,369,1,917.28
12487.0,668,1,285.29999999999995
12488.0,13,1,553.39
12489.0,273,1,298.93
12490.0,30,16,7115.3
12492.0,0,3,607.21
12493.0,103,2,379.74
12494.0,99,7,1240.03
12495.0,578,1,277.4
12496.0,557,2,45.34
12497.0,19,3,5996.5
12499.0,497,1,357.72
12500.0,2,14,3261.48
12501.0,274,1,2025.39
12502.0,33,5,2995.87
12503.0,521,1,896.0
12504.0,354,2,261.0
12505.0,346,1,787.2
12506.0,170,1,73.5
12507.0,71,4,1508.06
12509.0,221,1,158.5
12510.0,80,7,3039.03
12511.0,366,1,3084.02
12512.0,3,2,132.18
12513.0,50,1,558.29
12514.0,204,2,1597.76
12515.0,290,1,278.7
12516.0,15,4,2288.62
12517.0,11,3,1812.65
12518.0,14,2,759.73
12519.0,1,2,626.54
12520.0,16,5,2346.2599999999998
12521.0,80,1,545.68
12523.0,1,21,3519.71
12524.0,1,16,9522.31
12525.0,435,3,883.73
12526.0,31,1,484.3
12527.0,19,5,717.51
12528.0,1,5,1327.88
12529.0,465,1,316.48
12530.0,61,8,2976.63
12531.0,623,1,1645.98
12533.0,565,2,1223.89
12534.0,68,1,981.18
12535.0,29,2,716.35
12537.0,346,1,612.94
12538.0,315,1,276.5
12539.0,199,6,10136.09
12540.0,1,29,17021.04
12541.0,110,2,480.14
12542.0,421,2,481.88
12543.0,385,1,840.25
12545.0,12,2,832.39
12546.0,15,1,676.2
12547.0,135,3,299.58
12548.0,103,1,67.19999999999999
12549.0,513,5,1570.68
12550.0,16,1,824.83
12551.0,295,1,168.0
12553.0,47,9,2940.06
12554.0,386,1,384.5
12556.0,88,1,308.75
12557.0,95,7,15106.14
12559.0,248,2,525.71
12560.0,80,1,1292.31
12561.0,240,1,238.85
12562.0,19,6,2819.05
12563.0,346,1,221.24
12564.0,198,1,402.9
12565.0,226,1,145.92
12566.0,23,1,297.65
12567.0,33,14,9298.18
12568.0,582,1,52.0
12569.0,1,17,1989.48
12571.0,59,1,248.35
12573.0,164,5,717.41
12574.0,253,1,182.45000000000002
12575.0,394,2,568.8199999999999
12576.0,33,7,1683.44
12577.0,296,6,1186.3899999999999
12578.0,267,3,3036.6
12579.0,15,1,386.42
12580.0,184,2,962.9
12582.0,176,4,1820.4
12583.0,7,23,10474.44
12584.0,17,5,978.3900000000001
12585.0,171,2,1824.1
12586.0,312,3,1865.73
12588.0,337,2,543.88
12589.0,82,5,2833.73
12590.0,148,1,9341.26
12591.0,254,3,1114.95
12592.0,29,4,1723.6399999999999
12593.0,46,3,382.09999999999997
12594.0,58,12,4081.79
12595.0,442,1,281.02
12596.0,179,1,213.95
12597.0,120,2,1120.81
12598.0,8,7,3133.15
12599.0,64,12,1869.18
12600.0,21,19,4060.2700000000004
12601.0,127,6,573.26
12604.0,16,2,236.18
12605.0,313,3,1124.95
12608.0,342,1,415.79
12609.0,15,9,3021.86
12610.0,43,2,1104.25
12612.0,11,1,668.0400000000001
12613.0,135,8,4521.51
12614.0,215,1,315.6
12615.0,9,6,4373.18
12616.0,32,3,1023.1
12619.0,15,7,2294.84
12620.0,18,2,939.3199999999999
12621.0,18,32,19866.170000000002
12622.0,169,1,162.1
12623.0,213,7,3315.84
12624.0,43,2,569.13
12625.0,149,4,4678.88
12626.0,1,7,5539.55
12627.0,1,5,3569.55
12628.0,2,1,315.64
12629.0,323,2,1198.22
12631.0,393,5,2841.07
12632.0,458,2,714.88
12633.0,67,6,4958.93
12634.0,485,1,360.0
12635.0,27,4,2624.41
12637.0,4,12,8085.8099999999995
12638.0,577,1,169.8
12639.0,176,3,1072.37
12640.0,19,1,674.59
12641.0,52,1,145.9
12642.0,45,1,330.45
12643.0,65,11,7803.82
12644.0,67,4,1900.49
12645.0,47,7,2804.98
12647.0,15,34,13878.4
12648.0,92,4,1039.0
12649.0,44,8,2096.65
12651.0,272,4,377.75
12652.0,268,2,891.03
12653.0,86,3,4160.83
12654.0,135,3,301.75
12655.0,361,1,243.35000000000002
12656.0,10,7,5210.08
12657.0,16,1,546.44
12661.0,373,1,162.0
12662.0,44,16,5024.42
12663.0,562,2,185.4
12664.0,3,7,3335.2400000000002
12665.0,262,3,259.6
12666.0,331,1,1248.42
12668.0,196,8,9167.35
12669.0,88,2,1427.73
12670.0,36,5,2182.71
12671.0,543,1,2622.48
12672.0,267,2,407.05
12673.0,264,2,786.4
12674.0,29,3,1312.0
12675.0,491,2,873.25
12676.0,8,9,2191.43
12677.0,492,2,359.1
12678.0,16,13,24082.22
12679.0,25,3,874.7
12680.0,10,3,541.36
12681.0,15,38,24238.34
12682.0,19,42,17651.61
12683.0,30,18,8789.32
12684.0,1,4,1471.24
12685.0,12,3,1667.02
12686.0,309,1,71.14
12687.0,418,1,1858.91
12688.0,51,1,4873.8099999999995
12689.0,65,1,475.03
12690.0,143,1,335.01
12691.0,82,4,600.9
12692.0,574,1,110.95
12693.0,64,7,1415.02
12694.0,7,3,1663.35
12695.0,3,6,1286.02
12696.0,372,2,731.91
12697.0,68,2,573.91
12698.0,527,1,285.75
12699.0,355,1,566.11
12700.0,3,3,3337.24
12701.0,17,6,2248.41
12703.0,8,4,898.53
12704.0,15,4,1066.47
12705.0,14,10,9412.95
12707.0,229,1,603.42
12708.0,9,16,4281.89
12709.0,8,29,27842.28
12710.0,34,3,1023.02
12711.0,549,2,1213.05
12712.0,44,19,5555.9800000000005
12714.0,44,11,11586.55
12715.0,43,1,263.36
12716.0,70,1,623.9
12717.0,88,3,1058.91
12718.0,8,1,202.25
12719.0,2,1,247.60000000000002
12720.0,3,23,5635.65
12721.0,17,7,3074.7599999999998
12722.0,22,4,979.63
12723.0,2,2,299.40999999999997
12724.0,19,6,1893.28
12725.0,308,3,1906.76
12726.0,23,10,2960.14
12727.0,32,9,4334.53
12728.0,8,5,926.17
12729.0,51,1,417.01
12730.0,459,1,703.25
12731.0,8,15,21630.45
12732.0,117,1,218.26000000000002
12733.0,171,4,2424.02
12734.0,290,3,603.65
12735.0,252,2,689.5699999999999
12736.0,270,1,144.0
12738.0,309,1,137.35
12739.0,36,2,2421.23
12740.0,1,1,427.6
12741.0,470,1,236.07
12742.0,563,1,1201.52
12743.0,71,2,540.13
12744.0,82,7,12158.9
12745.0,424,2,723.85
12746.0,478,1,254.55
12747.0,4,24,8147.25
12748.0,1,259,36793.17
12749.0,68,7,5561.71
12750.0,66,1,275.88
12751.0,382,1,268.27
12752.0,18,1,4366.78
12753.0,73,5,16620.91
12754.0,173,3,3010.74
12755.0,218,11,5236.259999999999
12756.0,24,1,112.07999999999998
12757.0,1,5,3387.5
12758.0,54,7,9903.24
12759.0,109,7,4214.82
12760.0,393,1,317.8
12761.0,402,1,712.95
12763.0,75,2,494.08
12764.0,254,1,1693.88
12765.0,409,6,1299.58
12766.0,86,7,6209.55
